currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.rt,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.rt,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,finalWinnings,cashBonus,goodbyeText.started,goodbyeText.stopped,finalWinningsText.started,finalWinningsText.stopped,spaceToContinue.started,spaceToContinue.stopped,goodbyeKeyResp_2.keys,goodbyeKeyResp_2.rt,goodbyeKeyResp_2.started,goodbyeKeyResp_2.stopped,participant,date,expName,psychopyVersion,frameRate,
10,black.png,"Please make your choices as fast as possible.
You will be given a break at the end of each block.
Let's play!",,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.3780770676676,None,1060.3780770676676,None,1060.3780770676676,None,4,1.500840752851218,1060.3780770676676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061.8954010575544,None,space,47.96839728974737,1061.8954010575544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,1.1,,,,,,,,,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109.8802044684999,None,0.85,7.496022462728433,1112.8979941923171,None,None,1112.8979941923171,None,1117.3830233507324,None,True,False,False,0.85,-0.15000000000000002,-0.15000000000000002,-0.5375000000000001,1.1,0.5625,0.83125,certain,certain,0.83125,0.83125,1120.4175250985427,None,1120.4175250985427,None,1120.4175250985427,None,1120.4175250985427,None,1120.4175250985427,None,1120.4175250985427,None,1120.4175250985427,None,3,2.651248330133967,1120.4175250985427,None,1123.101878774818,None,1123.101878774818,None,1123.101878774818,None,1123.101878774818,None,1123.101878774818,None,1123.101878774818,None,1123.101878774818,None,1127.0867148239631,None,1127.0867148239631,None,1127.0867148239631,None,1127.0867148239631,None,1127.0867148239631,None,1127.0867148239631,None,1127.0867148239631,None,1128.0870984825306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,3.5,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,0.85,-0.15000000000000002,-0.30000000000000004,-0.5500000000000002,3.5,2.9499999999999997,1.4749999999999999,gamble,lose,2.9499999999999997,3.78125,1130.1045227866853,None,1130.1045227866853,None,1130.1045227866853,None,1130.1045227866853,None,1130.1045227866853,None,1130.1045227866853,None,1130.1045227866853,None,1,2.1010548209305853,1130.1045227866853,None,1132.2386711144354,None,1132.2386711144354,None,1132.2386711144354,None,1132.2386711144354,None,1132.2386711144354,None,1132.2386711144354,None,1132.2386711144354,None,1136.2235119632678,None,1136.2235119632678,None,1136.2235119632678,None,1136.2235119632678,None,1136.2235119632678,None,1136.2235119632678,None,1136.2235119632678,None,1137.2238889022265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,0.3,,,,,,,,,0,0,0,0,0,2,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.85,-0.15000000000000002,-0.45000000000000007,-0.5625000000000001,0.3,-0.2625000000000001,0.018749999999999933,certain,certain,0.018749999999999933,3.8,1139.2413202460157,None,1139.2413202460157,None,1139.2413202460157,None,1139.2413202460157,None,1139.2413202460157,None,1139.2413202460157,None,1139.2413202460157,None,3,2.6512528099119663,1139.2413202460157,None,1141.9089932563948,None,1141.9089932563948,None,1141.9089932563948,None,1141.9089932563948,None,1141.9089932563948,None,1141.9089932563948,None,1141.9089932563948,None,1145.9105707680574,None,1145.9105707680574,None,1145.9105707680574,None,1145.9105707680574,None,1145.9105707680574,None,1145.9105707680574,None,1145.9105707680574,None,1155.4141096099047,None,1146.910896829795,None,1147.9112718487158,None,0.86,7.502753285807557,1150.9123773868196,None,None,1150.9123773868196,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,6.3,,,,,,,,,0,0,0,0,0,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.86,-0.14,-0.5900000000000001,2.5500000000000003,6.3,3.7499999999999996,1.8749999999999998,gamble,win,6.3,10.1,1157.4315479933284,None,1157.4315479933284,None,1157.4315479933284,None,1157.4315479933284,None,1157.4315479933284,None,1157.4315479933284,None,1157.4315479933284,None,1,1.5173153502400964,1157.4315479933284,None,1158.9821325205266,None,1158.9821325205266,None,1158.9821325205266,None,1158.9821325205266,None,1158.9821325205266,None,1158.9821325205266,None,1158.9821325205266,None,1162.9669647299452,None,1162.9669647299452,None,1162.9669647299452,None,1162.9669647299452,None,1162.9669647299452,None,1162.9669647299452,None,1162.9669647299452,None,1163.967348068487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,11.7,,,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.86,-0.14,-0.7300000000000001,2.6900000000000004,11.7,9.009999999999998,4.504999999999999,gamble,win,11.7,21.799999999999997,1165.984783892054,None,1165.984783892054,None,1165.984783892054,None,1165.984783892054,None,1165.984783892054,None,1165.984783892054,None,1165.984783892054,None,1,1.6508825906785205,1165.984783892054,None,1167.6687558296835,None,1167.6687558296835,None,1167.6687558296835,None,1167.6687558296835,None,1167.6687558296835,None,1167.6687558296835,None,1167.6687558296835,None,1171.6702943035634,None,1171.6702943035634,None,1171.6702943035634,None,1171.6702943035634,None,1171.6702943035634,None,1171.6702943035634,None,1171.6702943035634,None,1181.1572049565148,None,1172.6539745774353,None,1173.6543841544772,None,0.9,7.502880318672396,1176.6554768932983,None,None,1176.6554768932983,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,8.9,,,,,,,,,0,0,0,0,0,5,5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.9,-0.09999999999999998,-0.8300000000000001,2.2299999999999995,8.9,6.670000000000001,3.3350000000000004,gamble,win,8.9,30.699999999999996,1183.1746846176684,None,1183.1746846176684,None,1183.1746846176684,None,1183.1746846176684,None,1183.1746846176684,None,1183.1746846176684,None,1183.1746846176684,None,1,0.9672303150873631,1183.1746846176684,None,1184.1750106794061,None,1184.1750106794061,None,1184.1750106794061,None,1184.1750106794061,None,1184.1750106794061,None,1184.1750106794061,None,1184.1750106794061,None,1188.1598489684984,None,1188.1598489684984,None,1188.1598489684984,None,1188.1598489684984,None,1188.1598489684984,None,1188.1598489684984,None,1188.1598489684984,None,1189.1602243074449,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,1.5,,,,,,,,,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.9,-0.09999999999999998,-0.93,2.3299999999999996,1.5,-0.8299999999999996,0.3350000000000002,certain,certain,0.3350000000000002,31.034999999999997,1191.1776050941553,None,1191.1776050941553,None,1191.1776050941553,None,1191.1776050941553,None,1191.1776050941553,None,1191.1776050941553,None,1191.1776050941553,None,3,2.1011204172391444,1191.1776050941553,None,1193.3118023790885,None,1193.3118023790885,None,1193.3118023790885,None,1193.3118023790885,None,1193.3118023790885,None,1193.3118023790885,None,1193.3118023790885,None,1197.2966413081158,None,1197.2966413081158,None,1197.2966413081158,None,1197.2966413081158,None,1197.2966413081158,None,1197.2966413081158,None,1197.2966413081158,None,1198.2970185669838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,1.7,,,,,,,,,0,0,0,0,0,7,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.9,-0.09999999999999998,-1.03,2.4299999999999997,1.7,-0.7299999999999998,0.4850000000000001,certain,certain,0.4850000000000001,31.519999999999996,1200.314448630903,None,1200.314448630903,None,1200.314448630903,None,1200.314448630903,None,1200.314448630903,None,1200.314448630903,None,1200.314448630903,None,3,1.5508475526003167,1200.314448630903,None,1201.8983628116548,None,1201.8983628116548,None,1201.8983628116548,None,1201.8983628116548,None,1201.8983628116548,None,1201.8983628116548,None,1201.8983628116548,None,1205.8998987256782,None,1205.8998987256782,None,1205.8998987256782,None,1205.8998987256782,None,1205.8998987256782,None,1205.8998987256782,None,1205.8998987256782,None,1215.3868103385903,None,1206.8836081179325,None,1207.884040093748,None,0.88,7.50270496844314,1210.8851190733258,None,None,1210.8851190733258,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,0.9,,,,,,,,,0,0,0,0,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.88,-0.12,-1.15,2.83,0.9,-1.9300000000000002,-0.5150000000000001,certain,certain,-0.5150000000000001,31.004999999999995,1217.404253841727,None,1217.404253841727,None,1217.404253841727,None,1217.404253841727,None,1217.404253841727,None,1217.404253841727,None,1217.404253841727,None,3,2.3676475717220455,1217.404253841727,None,1219.8051667506807,None,1219.8051667506807,None,1219.8051667506807,None,1219.8051667506807,None,1219.8051667506807,None,1219.8051667506807,None,1219.8051667506807,None,1223.8067340229172,None,1223.8067340229172,None,1223.8067340229172,None,1223.8067340229172,None,1223.8067340229172,None,1223.8067340229172,None,1223.8067340229172,None,1224.790389338159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,-1.1,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.88,-0.12,-1.27,2.95,-1.1,-4.050000000000001,-2.575,certain,certain,-2.575,28.429999999999996,1226.8078753990121,None,1226.8078753990121,None,1226.8078753990121,None,1226.8078753990121,None,1226.8078753990121,None,1226.8078753990121,None,1226.8078753990121,None,3,2.534495508298278,1226.8078753990121,None,1229.3754836128792,None,1229.3754836128792,None,1229.3754836128792,None,1229.3754836128792,None,1229.3754836128792,None,1229.3754836128792,None,1229.3754836128792,None,1233.3769795291591,None,1233.3769795291591,None,1233.3769795291591,None,1233.3769795291591,None,1233.3769795291591,None,1233.3769795291591,None,1233.3769795291591,None,1242.863890822162,None,1234.3606825218303,None,1235.3610578607768,None,0.89,7.502786243916489,1238.3621755581116,None,None,1238.3621755581116,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,9.5,,,,,,,,,0,0,0,0,0,10,10,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.89,-0.10999999999999999,-1.38,2.92,9.5,6.58,3.29,certain,certain,3.29,31.719999999999995,1244.8813308054814,None,1244.8813308054814,None,1244.8813308054814,None,1244.8813308054814,None,1244.8813308054814,None,1244.8813308054814,None,1244.8813308054814,None,3,1.084047453245148,1244.8813308054814,None,1245.9984752853634,None,1245.9984752853634,None,1245.9984752853634,None,1245.9984752853634,None,1245.9984752853634,None,1245.9984752853634,None,1245.9984752853634,None,1249.983259177534,None,1249.983259177534,None,1249.983259177534,None,1249.983259177534,None,1249.983259177534,None,1249.983259177534,None,1249.983259177534,None,1250.9836367563112,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,11.9,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.89,-0.10999999999999999,-1.4899999999999998,3.0299999999999994,11.9,8.870000000000001,4.4350000000000005,gamble,win,11.9,43.62,1253.0010674601654,None,1253.0010674601654,None,1253.0010674601654,None,1253.0010674601654,None,1253.0010674601654,None,1253.0010674601654,None,1253.0010674601654,None,1,0.7672018368029967,1253.0010674601654,None,1253.8013567239977,None,1253.8013567239977,None,1253.8013567239977,None,1253.8013567239977,None,1253.8013567239977,None,1253.8013567239977,None,1253.8013567239977,None,1257.786217731773,None,1257.786217731773,None,1257.786217731773,None,1257.786217731773,None,1257.786217731773,None,1257.786217731773,None,1257.786217731773,None,1267.2898698472418,None,1258.7865981905488,None,1259.7869767292868,None,0.89,7.502899517654441,1262.788153943373,None,None,1262.788153943373,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,11.5,,,,,,,,,0,0,0,0,0,12,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.89,-0.10999999999999999,-1.5999999999999996,3.1399999999999997,11.5,8.36,4.18,gamble,win,11.5,55.12,1269.3072448743042,None,1269.3072448743042,None,1269.3072448743042,None,1269.3072448743042,None,1269.3072448743042,None,1269.3072448743042,None,1269.3072448743042,None,1,0.9172788723371923,1269.3072448743042,None,1270.2576114936965,None,1270.2576114936965,None,1270.2576114936965,None,1270.2576114936965,None,1270.2576114936965,None,1270.2576114936965,None,1270.2576114936965,None,1274.2590702921152,None,1274.2590702921152,None,1274.2590702921152,None,1274.2590702921152,None,1274.2590702921152,None,1274.2590702921152,None,1274.2590702921152,None,1275.2428219219437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
