currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.rt,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.rt,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.rt,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,finalWinnings,cashBonus,participant,date,expName,psychopyVersion,frameRate,
10,black.png,"Please make your choices as fast as possible.
You will be given a break at the end of each block.
Let's play!",,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.65724607423181,None,60.65724607423181,None,60.65724607423181,None,4,1.1506203652825207,60.65724607423181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.824356396042276,None,space,18.590555408911314,61.824356396042276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,13.9,,,,,,,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.43137488298817,None,0.67,6.678592398879118,83.44920460454887,None,4,3.65161118976539,83.44920460454887,None,87.1172526338487,None,True,True,False,0.67,-0.32999999999999996,-0.32999999999999996,4.949999999999999,13.9,8.950000000000001,4.4750000000000005,gamble,win,13.9,13.9,90.15174638223834,None,90.15174638223834,None,90.15174638223834,None,90.15174638223834,None,90.15174638223834,None,90.15174638223834,None,90.15174638223834,None,1,1.4174566224101,90.15174638223834,None,91.60230291105108,None,91.60230291105108,None,91.60230291105108,None,91.60230291105108,None,91.60230291105108,None,91.60230291105108,None,91.60230291105108,None,95.58717479824554,None,95.58717479824554,None,95.58717479824554,None,95.58717479824554,None,95.58717479824554,None,95.58717479824554,None,95.58717479824554,None,96.58751845895313,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,11.1,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.67,-0.32999999999999996,-0.6599999999999999,5.279999999999999,11.1,5.82,2.91,gamble,win,11.1,25.0,98.60492740408517,None,98.60492740408517,None,98.60492740408517,None,98.60492740408517,None,98.60492740408517,None,98.60492740408517,None,98.60492740408517,None,1,1.033982416964136,98.60492740408517,None,99.67202764644753,None,99.67202764644753,None,99.67202764644753,None,99.67202764644753,None,99.67202764644753,None,99.67202764644753,None,99.67202764644753,None,103.65678562002722,None,103.65678562002722,None,103.65678562002722,None,103.65678562002722,None,103.65678562002722,None,103.65678562002722,None,103.65678562002722,None,104.65724767412758,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,9.3,,,,,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.67,-0.32999999999999996,-0.9899999999999999,5.609999999999999,9.3,3.6900000000000013,1.8450000000000006,gamble,win,9.3,34.3,106.67467293830123,None,106.67467293830123,None,106.67467293830123,None,106.67467293830123,None,106.67467293830123,None,106.67467293830123,None,106.67467293830123,None,1,1.284099610405974,106.67467293830123,None,107.99183757707942,None,107.99183757707942,None,107.99183757707942,None,107.99183757707942,None,107.99183757707942,None,107.99183757707942,None,107.99183757707942,None,111.9766707464587,None,111.9766707464587,None,111.9766707464587,None,111.9766707464587,None,111.9766707464587,None,111.9766707464587,None,111.9766707464587,None,121.48024670616724,None,112.97706176456995,None,113.97744094330119,None,0.67,7.502701768709812,116.9785644004005,None,None,116.9785644004005,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,-0.5,,,,,,,,,0,0,0,0,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.67,-0.32999999999999996,-1.3199999999999998,5.9399999999999995,-0.5,-6.4399999999999995,-3.4699999999999998,certain,certain,-3.4699999999999998,30.83,123.49767613015138,None,123.49767613015138,None,123.49767613015138,None,123.49767613015138,None,123.49767613015138,None,123.49767613015138,None,123.49767613015138,None,3,1.367468701733742,123.49767613015138,None,124.89824377838522,None,124.89824377838522,None,124.89824377838522,None,124.89824377838522,None,124.89824377838522,None,124.89824377838522,None,124.89824377838522,None,128.88308494724333,None,128.88308494724333,None,128.88308494724333,None,128.88308494724333,None,128.88308494724333,None,128.88308494724333,None,128.88308494724333,None,129.8834350076504,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,8.5,,,,,,,,,0,0,0,0,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.67,-0.32999999999999996,-1.65,6.27,8.5,2.2300000000000004,1.1150000000000002,gamble,win,8.5,39.33,131.9008289136109,None,131.9008289136109,None,131.9008289136109,None,131.9008289136109,None,131.9008289136109,None,131.9008289136109,None,131.9008289136109,None,1,1.1340286543709226,131.9008289136109,None,133.06792707607383,None,133.06792707607383,None,133.06792707607383,None,133.06792707607383,None,133.06792707607383,None,133.06792707607383,None,133.06792707607383,None,137.05283704114845,None,137.05283704114845,None,137.05283704114845,None,137.05283704114845,None,137.05283704114845,None,137.05283704114845,None,137.05283704114845,None,146.5564293199568,None,138.0532213395927,None,139.0536037181737,None,0.81,7.502790723752696,142.05472877522698,None,None,142.05472877522698,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,7.7,,,,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.81,-0.18999999999999995,-1.8399999999999999,4.499999999999999,7.7,3.200000000000001,1.6000000000000005,gamble,win,7.7,47.03,148.57387122319778,None,148.57387122319778,None,148.57387122319778,None,148.57387122319778,None,148.57387122319778,None,148.57387122319778,None,148.57387122319778,None,1,0.9506187653751113,148.57387122319778,None,149.5575457374216,None,149.5575457374216,None,149.5575457374216,None,149.5575457374216,None,149.5575457374216,None,149.5575457374216,None,149.5575457374216,None,153.54237410705537,None,153.54237410705537,None,153.54237410705537,None,153.54237410705537,None,153.54237410705537,None,153.54237410705537,None,153.54237410705537,None,154.54279808333376,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,-1.1,,,,,,,,,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.81,-0.18999999999999995,-2.03,4.6899999999999995,-1.1,-5.789999999999999,-3.4449999999999994,gamble,win,-1.1,45.93,156.5601539114141,None,156.5601539114141,None,156.5601539114141,None,156.5601539114141,None,156.5601539114141,None,156.5601539114141,None,156.5601539114141,None,1,1.400838673056569,156.5601539114141,None,157.99403009429807,None,157.99403009429807,None,157.99403009429807,None,157.99403009429807,None,157.99403009429807,None,157.99403009429807,None,157.99403009429807,None,161.9955781676108,None,161.9955781676108,None,161.9955781676108,None,161.9955781676108,None,161.9955781676108,None,161.9955781676108,None,161.9955781676108,None,162.97929011977976,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,0.3,,,,,,,,,0,0,0,0,0,7,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.81,-0.18999999999999995,-2.2199999999999998,4.879999999999999,0.3,-4.579999999999999,-2.1399999999999997,gamble,win,0.3,46.23,164.9967221035622,None,164.9967221035622,None,164.9967221035622,None,164.9967221035622,None,164.9967221035622,None,164.9967221035622,None,164.9967221035622,None,1,1.2672295151278377,164.9967221035622,None,166.2972143960069,None,166.2972143960069,None,166.2972143960069,None,166.2972143960069,None,166.2972143960069,None,166.2972143960069,None,166.2972143960069,None,170.29869271320058,None,170.29869271320058,None,170.29869271320058,None,170.29869271320058,None,170.29869271320058,None,170.29869271320058,None,170.29869271320058,None,179.78569552104454,None,171.28246674186084,None,172.28281040262664,None,0.84,7.502709768246859,175.28389290202176,None,None,175.28389290202176,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,8.9,,,,,,,,,0,0,0,0,0,8,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.84,-0.16000000000000003,-2.38,4.62,8.9,4.28,2.14,gamble,win,8.9,55.129999999999995,181.80311726545915,None,181.80311726545915,None,181.80311726545915,None,181.80311726545915,None,181.80311726545915,None,181.80311726545915,None,181.80311726545915,None,1,0.9839241002919152,181.80311726545915,None,182.82017391029513,None,182.82017391029513,None,182.82017391029513,None,182.82017391029513,None,182.82017391029513,None,182.82017391029513,None,182.82017391029513,None,186.80494276323589,None,186.80494276323589,None,186.80494276323589,None,186.80494276323589,None,186.80494276323589,None,186.80494276323589,None,186.80494276323589,None,187.80539393797517,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,1.5,,,,,,,,,0,0,0,0,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.84,-0.16000000000000003,-2.54,4.78,1.5,-3.2800000000000002,-0.8900000000000001,certain,certain,-0.8900000000000001,54.239999999999995,189.82274144649273,None,189.82274144649273,None,189.82274144649273,None,189.82274144649273,None,189.82274144649273,None,189.82274144649273,None,189.82274144649273,None,3,1.384149687597528,189.82274144649273,None,191.23998592077987,None,191.23998592077987,None,191.23998592077987,None,191.23998592077987,None,191.23998592077987,None,191.23998592077987,None,191.23998592077987,None,195.2415083955275,None,195.2415083955275,None,195.2415083955275,None,195.2415083955275,None,195.2415083955275,None,195.2415083955275,None,195.2415083955275,None,204.7284299279563,None,196.22520658845315,None,197.22559664660366,None,0.75,7.502705288527068,200.22667210636428,None,None,200.22667210636428,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,7.5,,,,,,,,,0,0,0,0,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.75,-0.25,-2.79,6.29,7.5,1.21,0.605,gamble,win,7.5,61.739999999999995,206.74585423216922,None,206.74585423216922,None,206.74585423216922,None,206.74585423216922,None,206.74585423216922,None,206.74585423216922,None,206.74585423216922,None,1,1.0006822017603554,206.74585423216922,None,207.77958898304496,None,207.77958898304496,None,207.77958898304496,None,207.77958898304496,None,207.77958898304496,None,207.77958898304496,None,207.77958898304496,None,211.76442567218328,None,211.76442567218328,None,211.76442567218328,None,211.76442567218328,None,211.76442567218328,None,211.76442567218328,None,211.76442567218328,None,212.76484420872293,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,-0.9,,,,,,,,,0,0,0,0,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.75,-0.25,-3.04,-1.1283333333333334,-0.9,-2.0283333333333333,-1.4641666666666666,gamble,lose,-2.0283333333333333,59.71166666666666,214.78219459712273,None,214.78219459712273,None,214.78219459712273,None,214.78219459712273,None,214.78219459712273,None,214.78219459712273,None,214.78219459712273,None,1,1.2507750765653327,214.78219459712273,None,216.06605966069037,None,216.06605966069037,None,216.06605966069037,None,216.06605966069037,None,216.06605966069037,None,216.06605966069037,None,216.06605966069037,None,220.0675690161297,None,220.0675690161297,None,220.0675690161297,None,220.0675690161297,None,220.0675690161297,None,220.0675690161297,None,220.0675690161297,None,229.55451358726714,None,221.05127616855316,None,222.05165726720588,None,0.73,7.502721927536186,225.0528108025901,None,None,225.0528108025901,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,13.3,,,,,,,,,0,0,0,0,0,12,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.73,-0.27,-3.31,7.09,13.3,6.210000000000001,3.1050000000000004,gamble,win,13.3,73.01166666666666,231.57192349230172,None,231.57192349230172,None,231.57192349230172,None,231.57192349230172,None,231.57192349230172,None,231.57192349230172,None,231.57192349230172,None,1,0.83386562357191,231.57192349230172,None,232.43887526297476,None,232.43887526297476,None,232.43887526297476,None,232.43887526297476,None,232.43887526297476,None,232.43887526297476,None,232.43887526297476,None,236.44043133588275,None,236.44043133588275,None,236.44043133588275,None,236.44043133588275,None,236.44043133588275,None,236.44043133588275,None,236.44043133588275,None,237.42413976817625,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,13.5,,,,,,,,,0,0,0,0,0,13,13,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.73,-0.27,-3.58,7.36,13.5,6.14,3.07,gamble,win,13.5,86.51166666666666,239.44160471012583,None,239.44160471012583,None,239.44160471012583,None,239.44160471012583,None,239.44160471012583,None,239.44160471012583,None,239.44160471012583,None,1,0.9005444495123811,239.44160471012583,None,240.37525642564287,None,240.37525642564287,None,240.37525642564287,None,240.37525642564287,None,240.37525642564287,None,240.37525642564287,None,240.37525642564287,None,244.37677282071672,None,244.37677282071672,None,244.37677282071672,None,244.37677282071672,None,244.37677282071672,None,244.37677282071672,None,244.37677282071672,None,245.3604716535774,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
